"time_5yr","woman_age_ab_bin","rural","births","deaths","nmr_smoothed","births_smoothed","births_total","gamma_m2","gamma_m1","rural_ch","gamma_m0"
"1986-1990","10-14",0,19,1,0.0754036026228843,13,753,0.0172642762284197,0.0124633431085044,"urban",0.0252324037184595
"1986-1990","10-14",1,132,11,0.0970965951534088,69,4005,0.0172284644194757,0.0124142661179698,"rural",0.0329588014981273
"1986-1990","15-19",0,201,4,0.0425818504050914,170,753,0.225763612217795,0.216275659824047,"urban",0.266932270916335
"1986-1990","15-19",1,1195,71,0.0553670137991838,905,4005,0.225967540574282,0.198422496570645,"rural",0.298377028714107
"1986-1990","20-24",0,148,6,0.0272687321759789,231,753,0.306772908366534,0.341275659824047,"urban",0.196547144754316
"1986-1990","20-24",1,913,43,0.0356278087032855,1227,4005,0.306367041198502,0.291015089163237,"rural",0.227965043695381
"1991-1995","10-14",0,32,1,0.0673928260863274,21,1199,0.0175145954962469,0.0124633431085044,"urban",0.0266889074228524
"1991-1995","10-14",1,185,20,0.0870118758725291,109,6372,0.0171060891399874,0.0124142661179698,"rural",0.0290332705586943
"1991-1995","15-19",0,278,7,0.0379005654167222,270,1199,0.225187656380317,0.216275659824047,"urban",0.23185988323603
"1991-1995","15-19",1,1699,84,0.049338531089781,1440,6372,0.225988700564972,0.198422496570645,"rural",0.266635279347144
"1991-1995","20-24",0,393,6,0.0242239870026654,368,1199,0.306922435362802,0.341275659824047,"urban",0.327773144286906
"1991-1995","20-24",1,2141,70,0.0316725659448894,1958,6372,0.307281858129316,0.291015089163237,"rural",0.336001255492781
"1991-1995","25-29",0,172,7,0.024745561238024,252,1199,0.210175145954962,0.234604105571848,"urban",0.143452877397832
"1991-1995","25-29",1,856,28,0.0323512223375274,1337,6372,0.209824231010672,0.229149519890261,"rural",0.134337727558067
"1996-2000","10-14",0,39,1,0.0604545565348069,31,1783,0.0173864273696018,0.0124633431085044,"urban",0.0218732473359506
"1996-2000","10-14",1,237,25,0.0782274944566694,162,9476,0.0170958210215281,0.0124142661179698,"rural",0.0250105529759392
"1996-2000","15-19",0,504,21,0.0338838710825283,402,1783,0.22546270330903,0.216275659824047,"urban",0.282669657879978
"1996-2000","15-19",1,2338,106,0.0441570875800897,2140,9476,0.225833685099198,0.198422496570645,"rural",0.246728577458843
"1996-2000","20-24",0,596,8,0.0216210760148867,547,1783,0.306786315199103,0.341275659824047,"urban",0.334268087492989
"1996-2000","20-24",1,3061,74,0.0282859327603481,2911,9476,0.307197129590545,0.291015089163237,"rural",0.323026593499367
"1996-2000","25-29",0,354,8,0.0220849806115363,375,1783,0.210319685922602,0.234604105571848,"urban",0.198541783510937
